Número de documentos del corpus:122425
Número de palabras del corpus:18437
Palabra:15-20  Frec:2  LogProb:-11.162395885255101
Palabra:16-04-2010  Frec:2  LogProb:-11.162395885255101
Palabra:160gb  Frec:2  LogProb:-11.162395885255101
Palabra:16F  Frec:2  LogProb:-11.162395885255101
Palabra:17th  Frec:3  LogProb:-10.756930777146938
Palabra:18+  Frec:2  LogProb:-11.162395885255101
Palabra:1800QZAK  Frec:1  LogProb:-11.855543065815047
Palabra:18r  Frec:2  LogProb:-11.162395885255101
Palabra:18th  Frec:2  LogProb:-11.162395885255101
Palabra:1900S  Frec:1  LogProb:-11.855543065815047
Palabra:1980-91  Frec:2  LogProb:-11.162395885255101
Palabra:19north's  Frec:2  LogProb:-11.162395885255101
Palabra:19th  Frec:2  LogProb:-11.162395885255101
Palabra:1one  Frec:2  LogProb:-11.162395885255101
Palabra:1st  Frec:5  LogProb:-10.246105153380947
Palabra:2%  Frec:4  LogProb:-10.469248704695156
Palabra:2(  Frec:2  LogProb:-11.162395885255101
Palabra:2)  Frec:1  LogProb:-11.855543065815047
Palabra:2-3  Frec:1  LogProb:-11.855543065815047
Palabra:20-30cm  Frec:2  LogProb:-11.162395885255101
Palabra:20/txt  Frec:2  LogProb:-11.162395885255101
Palabra:20080121-366383  Frec:2  LogProb:-11.162395885255101
Palabra:20min  Frec:2  LogProb:-11.162395885255101
Palabra:20yrs  Frec:2  LogProb:-11.162395885255101
Palabra:22AM  Frec:1  LogProb:-11.855543065815047
Palabra:22nd<3  Frec:2  LogProb:-11.162395885255101
Palabra:24/7  Frec:5  LogProb:-10.246105153380947
Palabra:24th  Frec:2  LogProb:-11.162395885255101
Palabra:25K  Frec:1  LogProb:-11.855543065815047
Palabra:25th  Frec:1  LogProb:-11.855543065815047
Palabra:26th  Frec:1  LogProb:-11.855543065815047
Palabra:27th  Frec:2  LogProb:-11.162395885255101
Palabra:29-5-4  Frec:1  LogProb:-11.855543065815047
Palabra:29th  Frec:2  LogProb:-11.162395885255101
Palabra:2am  Frec:3  LogProb:-10.756930777146938
Palabra:2b  Frec:2  LogProb:-11.162395885255101
Palabra:2bits  Frec:1  LogProb:-11.855543065815047
Palabra:2day  Frec:7  LogProb:-9.909632916759733
Palabra:2day-i  Frec:2  LogProb:-11.162395885255101
Palabra:2days  Frec:3  LogProb:-10.756930777146938
Palabra:2do  Frec:1  LogProb:-11.855543065815047
Palabra:2gether  Frec:2  LogProb:-11.162395885255101
Palabra:2give  Frec:2  LogProb:-11.162395885255101
Palabra:2go  Frec:2  LogProb:-11.162395885255101
Palabra:2inches  Frec:2  LogProb:-11.162395885255101
Palabra:2K9  Frec:3  LogProb:-10.756930777146938
Palabra:2knock  Frec:1  LogProb:-11.855543065815047
Palabra:2lb  Frec:2  LogProb:-11.162395885255101
Palabra:2many  Frec:2  LogProb:-11.162395885255101
Palabra:2mch  Frec:2  LogProb:-11.162395885255101
Palabra:2mmr  Frec:2  LogProb:-11.162395885255101
Palabra:2morrow  Frec:1  LogProb:-11.855543065815047
Palabra:2MORW  Frec:2  LogProb:-11.162395885255101
Palabra:2mrrw  Frec:1  LogProb:-11.855543065815047
Palabra:2much  Frec:3  LogProb:-10.756930777146938
Palabra:2nd  Frec:7  LogProb:-9.909632916759733
Palabra:2night  Frec:3  LogProb:-10.756930777146938
Palabra:2nite  Frec:4  LogProb:-10.469248704695156
Palabra:2O1O<3  Frec:2  LogProb:-11.162395885255101
Palabra:2PM  Frec:2  LogProb:-11.162395885255101
